"ACCIDENT_NO","NODE_ID","COMPLEX_INT_NO"
"T20060032723","44,242","8,644"
"T20060032756","55,855","4,321"
"T20060032808","45,344","9,059"
"T20060032815","55,858","100,996"
"T20060032845","41,964","5,794"
"T20060032847","57,539","5,760"
"T20060032870","32,079","106,094"
"T20060032961","40","6,522"
"T20060033024","42,675","8,972"
"T20060033034","45,189","8,775"
"T20060033040","29,860","6,230"
"T20060033080","40,913","5,671"
"T20060033082","15,437","7,843"
"T20060033084","46,197","6,203"
"T20060033120","55,861","100,170"
"T20060033248","47,464","7,676"
"T20060033293","38,188","9,049"
"T20060033316","1,320","8,736"
"T20060033349","55,889","7,731"
"T20060033394","36,208","9,264"
"T20060033406","44,382","9,567"
"T20060033508","55,868","4,084"
"T20060033575","38,477","5,048"
"T20060033610","37,624","106,078"
"T20060033649","40,357","106,095"
"T20060033728","41,896","5,707"
"T20060033749","37,980","9,012"
"T20060033788","57,538","5,762"
"T20060033788","57,538","100,943"
"T20060033937","42,197","6,153"
"T20060033961","40,942","5,603"
"T20060033965","35,785","7,781"
"T20060033976","56,495","100,905"
"T20060034002","41,152","103,439"
"T20060034033","37,911","9,160"
"T20060034134","376","102,938"
"T20060034178","55,890","100,629"
"T20060034182","37,170","9,420"
"T20060034302","55,585","4,191"
"T20060034343","10,592","1,000"
"T20060034364","42,822","8,978"
"T20060034441","50,142","7,776"
"T20060034449","1,195","7,845"
"T20060034452","55,889","7,731"
"T20060034457","47,449","104,068"
"T20060034482","55,896","5,091"
"T20060034516","36,983","9,445"
"T20060034543","40,289","5,442"
"T20060034719","48,154","9,197"
"T20060034736","53,022","101,189"
"T20060034791","29,592","9,519"
"T20060034801","40,913","5,671"
"T20060034826","46,295","5,073"
"T20060034827","45,952","9,274"
"T20060034833","10,850","9,416"
"T20060034869","793","1,000"
"T20060034869","793","6,086"
"T20060034917","19,317","4,009"
"T20060034933","37,678","100,907"
"T20060034945","37,282","9,340"
"T20060034959","42,768","6,281"
"T20060034972","47,545","6,921"
"T20060035083","55,907","103,841"
"T20060035136","1,175","6,546"
"T20060035153","206,445","8,504"
"T20060035188","35,636","1,022"
"T20060035228","536","5,263"
"T20060035238","232,716","5,327"
"T20060035238","232,716","106,090"
"T20060035291","36,221","9,233"
"T20060035342","29,950","7,765"
"T20060035366","36,093","100,910"
"T20060035392","49,883","100,242"
"T20060035400","44,601","8,816"
"T20060035410","41,116","9,559"
"T20060035438","42,282","101,044"
"T20060035460","37,872","9,098"
"T20060035471","49,990","7,715"
"T20060035518","52,690","2,174"
"T20060035520","42,440","104,754"
"T20060035529","43,044","8,980"
"T20060035570","29,416","9,375"
"T20060035589","43,852","102,035"
"T20060035682","43,748","8,731"
"T20060035716","41,973","5,812"
"T20060035750","45,879","5,938"
"T20060035774","43,053","8,982"
"T20060035790","55,916","1,109"
"T20060035848","49,325","4,221"
"T20060035871","56,498","8,899"
"T20060035914","36,230","9,314"
"T20060035975","35,391","105,428"
"T20060036015","56,233","100,457"
"T20060036073","51,145","3,172"
"T20060036167","44,317","9,599"
"T20060036170","41,527","103,500"
"T20060036214","47,884","5,523"
"T20060036254","906","6,647"
"T20060036285","206,571","5,416"
"T20060036312","49,649","7,597"
"T20060036419","35,638","102,085"
"T20060036491","713","5,957"
"T20060036592","55,362","1,130"
"T20060036704","119","9,473"
"T20060036748","41,779","5,866"
"T20060037050","46,278","5,884"
"T20060037065","1,316","8,715"
"T20060037066","42,819","6,400"
"T20060037287","39,777","5,269"
"T20060037324","49,683","1,003"
"T20060037421","52,850","104,311"
"T20060037504","42,815","6,381"
"T20060037515","40,772","5,679"
"T20060037530","50,704","7,998"
"T20060037595","29,710","6,284"
